Action,Timestamp,Price,BTC Balance,USD Balance,Position Size,Stop Loss
Buy,2024-07-07 09:10:00,57584.0,0.23393983605505214,0.0,0.2414751428692491,57409.50428571428
Sell,2024-07-07 10:55:00,57510.2,0.0,13453.926759493259,0.2414751428692491,0.0
Buy,2024-07-07 16:40:00,57156.01,0.23538953750433697,0.0,0.1868434494521008,56930.73142857143
Sell,2024-07-07 17:30:00,56900.0,0.0,13393.664683996774,0.1868434494521008,0.0
Buy,2024-07-07 17:50:00,57138.62,0.23440651321289827,0.0,0.21249769371584903,56941.101428571434
Sell,2024-07-07 21:10:00,56734.0,0.0,13298.81912062057,0.21249769371584903,0.0
Buy,2024-07-08 04:40:00,55458.0,0.2397998326773517,0.0,0.13157822280791848,55140.642857142855
Sell,2024-07-08 13:45:00,56856.01,0.0,13634.061684701835,0.13157822280791848,0.0
Buy,2024-07-08 14:05:00,57182.01,0.23843271134928337,0.0,0.10045314926049542,56761.74285714285
Sell,2024-07-08 14:15:00,56992.01,0.0,13588.759469545472,0.10045314926049542,0.0
Buy,2024-07-08 18:10:00,56336.0,0.24120916411434024,0.0,0.11748466677028861,55977.06428571429
Sell,2024-07-08 21:00:00,56206.16,0.0,13557.440871676867,0.11748466677028861,0.0
Buy,2024-07-08 21:05:00,56312.01,0.2407557619001145,0.0,0.16779937688618365,56060.92857142857
Sell,2024-07-09 00:25:00,56416.01,0.0,13582.479470914479,0.16779937688618365,0.0
Buy,2024-07-09 01:05:00,56769.99,0.23925456867113204,0.0,0.15011850122789153,56489.04571428571
Sell,2024-07-09 02:00:00,56444.0,0.0,13504.484874073376,0.15011850122789153,0.0
Buy,2024-07-09 02:20:00,56700.01,0.2381742943973621,0.0,0.11166423737326103,56323.41142857143
Sell,2024-07-09 07:50:00,57150.01,0.0,13611.66330655219,0.11166423737326103,0.0
Buy,2024-07-09 08:20:00,57472.01,0.23683986877355062,0.0,0.14660266334496666,57184.305714285714
Sell,2024-07-09 10:40:00,57306.6,0.0,13572.487623858357,0.14660266334496666,0.0
Buy,2024-07-09 11:40:00,57507.99,0.23601046782991994,0.0,0.22466309636270254,57320.52
Sell,2024-07-09 11:45:00,57421.97,0.0,13552.186003415629,0.22466309636270254,0.0
Buy,2024-07-09 12:10:00,57528.01,0.2355754353994798,0.0,0.24975823365140545,57359.57
Sell,2024-07-09 12:20:00,57366.79,0.0,13514.206531720525,0.24975823365140545,0.0
Buy,2024-07-09 14:15:00,57618.01,0.23454830411047733,0.0,0.08871865202052019,57144.95714285714
Sell,2024-07-09 14:55:00,57060.0,0.0,13383.326232543837,0.08871865202052019,0.0
Buy,2024-07-09 16:05:00,57548.0,0.23255936318453876,0.0,0.13352080189739257,57234.60428571428
Sell,2024-07-09 22:15:00,57756.0,0.0,13431.69858008622,0.13352080189739257,0.0
Buy,2024-07-09 22:20:00,57837.38,0.23223214087647506,0.0,0.2554680493324673,57673.311428571425
Sell,2024-07-10 00:20:00,57602.94,0.0,13377.254076979141,0.2554680493324673,0.0
Buy,2024-07-10 02:55:00,57882.55,0.2311103100499052,0.0,0.20282069648290793,57676.63142857143
Sell,2024-07-10 08:10:00,58737.6,0.0,13574.864947587312,0.20282069648290793,0.0
Buy,2024-07-10 22:05:00,57580.85,0.23575311839938645,0.0,0.28000864394511993,57430.14714285714
Sell,2024-07-11 00:25:00,57497.55,0.0,13555.226712824644,0.28000864394511993,0.0
Buy,2024-07-11 01:35:00,57836.34,0.2343721389151638,0.0,0.19039471765950897,57615.01142857142
Sell,2024-07-11 03:15:00,57243.21,0.0,13416.213566069895,0.19039471765950897,0.0
Buy,2024-07-11 04:45:00,57751.82,0.2323080652015797,0.0,0.2179687271167206,57559.78571428571
Sell,2024-07-11 14:05:00,58534.01,0.0,13597.922611589918,0.2179687271167206,0.0
Buy,2024-07-11 18:35:00,57902.01,0.23484370597134568,0.0,0.20318794304699575,57693.90857142857
Sell,2024-07-11 19:05:00,57742.01,0.0,13560.347618634503,0.20318794304699575,0.0
Buy,2024-07-12 00:35:00,57544.01,0.23565176668491652,0.0,0.17775857890093458,57306.595714285715
Sell,2024-07-12 00:55:00,57178.0,0.0,13474.096715510157,0.17775857890093458,0.0
Buy,2024-07-12 02:45:00,57318.01,0.23507614300479301,0.0,0.15214948631942515,57041.70428571429
Sell,2024-07-12 03:15:00,56960.01,0.0,13389.939456314441,0.15214948631942515,0.0
Buy,2024-07-12 06:00:00,57091.57,0.23453444100966994,0.0,0.3264936843290459,56963.22571428571
Sell,2024-07-12 07:35:00,56950.74,0.0,13356.90997098705,0.3264936843290459,0.0
Buy,2024-07-12 08:10:00,57228.0,0.23339816123203763,0.0,0.20234253950810904,57021.47571428571
Sell,2024-07-12 09:45:00,57010.0,0.0,13306.029171838465,0.20234253950810904,0.0
Buy,2024-07-12 11:15:00,57140.87,0.23286360833915312,0.0,0.23207143324381616,56961.27714285714
Sell,2024-07-12 19:25:00,57903.71,0.0,13483.666846823904,0.23207143324381616,0.0
Buy,2024-07-12 22:50:00,57773.04,0.2333902949684473,0.0,0.3753522333165739,57660.822857142855
Sell,2024-07-13 04:00:00,57795.45,0.0,13488.897123334147,0.3753522333165739,0.0
Buy,2024-07-13 05:20:00,57914.71,0.23290968949571098,0.0,0.4559340505972737,57822.28
Sell,2024-07-13 09:00:00,57914.18,0.0,13488.773681198714,0.4559340505972737,0.0
Buy,2024-07-13 09:20:00,58138.52,0.23201095729988852,0.0,0.4028097460006209,58033.90142857143
Sell,2024-07-13 17:00:00,58627.1,0.0,13602.129594716294,0.4028097460006209,0.0
Buy,2024-07-13 18:05:00,58799.13,0.2313321573757349,0.0,0.4143704545040867,58696.24285714285
Sell,2024-07-13 18:25:00,58624.23,0.0,13561.66960039128,0.4143704545040867,0.0
Buy,2024-07-13 21:25:00,58682.5,0.23110245133372437,0.0,0.5686180147141284,58607.841428571424
Sell,2024-07-13 22:20:00,58464.0,0.0,13511.17371477486,0.5686180147141284,0.0
Buy,2024-07-13 22:45:00,58908.25,0.22935961796140372,0.0,0.1928009303974425,58689.67428571428
Sell,2024-07-14 02:55:00,59356.0,0.0,13613.869483717079,0.1928009303974425,0.0
Buy,2024-07-14 03:05:00,59524.01,0.2287122370236326,0.0,0.2299819454300572,59339.83285714286
Sell,2024-07-14 10:40:00,60027.89,0.0,13729.113005708545,0.2299819454300572,0.0
Buy,2024-07-14 14:55:00,60012.0,0.22877279553603522,0.0,0.19523241195661262,59793.55714285714
Sell,2024-07-14 19:40:00,59906.96,0.0,13705.08271126544,0.19523241195661262,0.0
Buy,2024-07-14 20:30:00,60023.99,0.22832675254119963,0.0,0.652353041991836,59958.694285714286
Sell,2024-07-15 09:10:00,62639.99,0.0,14302.385495913219,0.652353041991836,0.0
Buy,2024-07-15 12:35:00,62713.99,0.2280573361049619,0.0,0.1978407116457471,62477.12142857142
Sell,2024-07-15 12:55:00,62616.0,0.0,14280.038157548295,0.1978407116457471,0.0
Buy,2024-07-15 13:00:00,62714.01,0.22770092611759787,0.0,0.2129572358588451,62494.182857142856
Sell,2024-07-16 04:30:00,64488.01,0.0,14683.979600480914,0.2129572358588451,0.0
Buy,2024-07-16 10:15:00,63304.0,0.2319597434677258,0.0,0.16894894370409286,63021.32142857143
Sell,2024-07-16 14:00:00,63184.01,0.0,14656.146750862223,0.16894894370409286,0.0
Buy,2024-07-16 14:55:00,63836.09,0.22959029525245395,0.0,0.10769584188370461,63393.10571428571
Sell,2024-07-16 21:15:00,64692.61,0.0,14852.795430551854,0.10769584188370461,0.0
Buy,2024-07-16 21:30:00,64781.58,0.229274979562892,0.0,0.1915687927488715,64531.340000000004
Sell,2024-07-16 21:35:00,64607.69,0.0,14812.926804355662,0.1915687927488715,0.0
Buy,2024-07-16 23:10:00,64870.33,0.22834671573823753,0.0,0.1748863262113892,64596.69571428571
Sell,2024-07-17 06:25:00,65560.63,0.0,14970.55454222977,0.1748863262113892,0.0
Buy,2024-07-17 14:00:00,64985.01,0.23036935044296783,0.0,0.11841174897624676,64578.32142857143
Sell,2024-07-17 14:05:00,64760.0,0.0,14918.719134686597,0.11841174897624676,0.0
Buy,2024-07-17 14:30:00,65144.01,0.2290113724145412,0.0,0.09851960942169988,64655.88285714286
Sell,2024-07-17 15:55:00,64724.01,0.0,14822.534358272489,0.09851960942169988,0.0
Buy,2024-07-17 19:10:00,64510.72,0.22976854634814942,0.0,0.2948514352618064,64347.97142857143
Sell,2024-07-17 21:00:00,64096.73,0.0,14727.41247776982,0.2948514352618064,0.0
Buy,2024-07-18 00:50:00,64495.24,0.22834882818902325,0.0,0.2009164251150897,64257.92
Sell,2024-07-18 05:00:00,64578.0,0.0,14746.310626790742,0.2009164251150897,0.0
